1       2       3       4       5       6       7       8       9       10	11	12
12      11      10      9       8       7       6       5       4       3	2	1
1       2       3       4       5       6       7       8       9       10	11	12
12      11      10      9       8       7       6       5       4       3	2	1
1       2       3       4       5       6       7       8       9       10	11	12
12      11      10      9       8       7       6       5       4       3	2	1
1       2       3       4       5       6       7       8       9       10	11	12
12      11      10      9       8       7       6       5       4       3	2	1
1       2       3       4       5       6       7       8       9       10	11	12
12      11      10      9       8       7       6       5       4       3	2	1
1       2       3       4       5       6       14      8       9       10	11	12
2       12      11      10      9       8       2       6       5       4	3	4
